Nom,Aguerrie,Capacité de Soutien,Code,Code de Type,Coriace,Cout Main,Cout Reserve,Défenseur,Eau,Faction,Feuille,Fleche,Formula,Fugace,Gigantesque,ID,Identifiant,Langue,Main,Possession,Reserve,Roche,Set,Type unité,Éternel
Sierra & Oddball,No,No,BTG-001-H-FR,H - Héro,,,,No,,Axiom,,No,,No,No,1,MCA-1,FR - Français,No,1,No,,BTG - Au-delà des portes,,No
Sierra & Oddball,No,No,BTG-001-H-EN,H - Héro,,,,No,,Axiom,,No,,No,No,1,MCA-2,EN - English,No,0,No,,BTG - Au-delà des portes,,No
Subhash & Marmo,No,No,BTG-002-H-FR,H - Héro,,,,No,,Axiom,,No,,No,No,2,MCA-3,FR - Français,No,2,No,,BTG - Au-delà des portes,,No
Subhash & Marmo,No,No,BTG-002-H-EN,H - Héro,,,,No,,Axiom,,No,,No,No,2,MCA-4,EN - English,No,1,No,,BTG - Au-delà des portes,,No
Treyst & Rossum,No,No,BTG-003-H-FR,H - Héro,,,,No,,Axiom,,No,,No,No,3,MCA-5,FR - Français,No,4,No,,BTG - Au-delà des portes,,No
Treyst & Rossum,No,No,BTG-003-H-EN,H - Héro,,,,No,,Axiom,,No,,No,No,3,MCA-6,EN - English,No,1,No,,BTG - Au-delà des portes,,No
Mécanicienne de la Fonderie,No,Yes,BTG-004-C-FR,C - Commune,,1,1,No,1,Axiom,0,No,,No,No,4,MCA-7,FR - Français,No,3,No,1,BTG - Au-delà des portes,Personnage,No
Foundry Mechanic,No,Yes,BTG-004-C-EN,C - Commune,,1,1,No,1,Axiom,0,No,,No,No,4,MCA-8,EN - English,No,0,No,1,BTG - Au-delà des portes,Personnage,No
Mécanicienne de la Fonderie,No,Yes,BTG-004-R-FR,R - Rare,,1,1,No,2,Axiom,1,No,,No,No,4,MCA-9,FR - Français,No,1,No,1,BTG - Au-delà des portes,Personnage,No
Foundry Mechanic,No,Yes,BTG-004-R-EN,R - Rare,,1,1,No,2,Axiom,1,No,,No,No,4,MCA-10,EN - English,No,0,No,1,BTG - Au-delà des portes,Personnage,No
Mécanicienne de la Fonderie,No,Yes,BTG-004-F-FR,F - Transfuge,,1,1,No,2,Ordis,1,No,,No,No,4,MCA-11,FR - Français,No,1,No,1,BTG - Au-delà des portes,Personnage,No
Récupérateur Axiom,No,No,BTG-005-F-FR,C - Commune,,1,2,No,1,Axiom,1,No,,No,No,5,MCA-12,FR - Français,No,5,Yes,1,BTG - Au-delà des portes,Personnage,No
Foundry Mechanic,No,Yes,BTG-004-F-EN,F - Transfuge,,1,1,No,2,Ordis,1,No,,No,No,4,MCA-13,EN - English,No,0,No,1,BTG - Au-delà des portes,Personnage,No
Récupérateur Axiom,No,No,BTG-005-R-FR,R - Rare,,1,1,No,0,Axiom,1,No,,No,No,5,MCA-14,FR - Français,No,0,Yes,1,BTG - Au-delà des portes,Personnage,No
