ID,Code de Type,Langue,Nom,Faction,Type unité,Possession
1,H - Héro,EN - English,Sierra & Oddball,Axiom,,0
1,H - Héro,FR - Français,Sierra & Oddball,Axiom,,1
2,H - Héro,EN - English,Subhash & Marmo,Axiom,,1
2,H - Héro,FR - Français,Subhash & Marmo,Axiom,,2
3,H - Héro,EN - English,Treyst & Rossum,Axiom,,1
3,H - Héro,FR - Français,Treyst & Rossum,Axiom,,4
4,F - Transfuge,EN - English,Foundry Mechanic,Ordis,Personnage,0
4,F - Transfuge,FR - Français,Mécanicienne de la Fonderie,Ordis,Personnage,1
4,R - Rare,EN - English,Foundry Mechanic,Axiom,Personnage,0
4,R - Rare,FR - Français,Mécanicienne de la Fonderie,Axiom,Personnage,1
4,C - Commune,EN - English,Foundry Mechanic,Axiom,Personnage,0
4,C - Commune,FR - Français,Mécanicienne de la Fonderie,Axiom,Personnage,3
5,F - Transfuge,EN - English,Axiom Salvager,Bravos,Personnage,0
5,F - Transfuge,FR - Français,Récupérateur Axiom,Bravos,Personnage,0
5,R - Rare,EN - English,Axiom Salvager,Axiom,Personnage,0
5,C - Commune,EN - English,Axiom Salvager,Axiom,Personnage,1
5,R - Rare,FR - Français,Récupérateur Axiom,Axiom,Personnage,0
5,C - Commune,FR - Français,Récupérateur Axiom,Axiom,Personnage,5
6,F - Transfuge,EN - English,Ada Lovelace,Yzmir,Personnage,0
6,R - Rare,EN - English,Ada Lovelace,Axiom,Personnage,0
6,F - Transfuge,FR - Français,Ada Lovelace,Yzmir,Personnage,0
6,C - Commune,EN - English,Ada Lovelace,Axiom,Personnage,1
6,R - Rare,FR - Français,Ada Lovelace,Axiom,Personnage,0
6,C - Commune,FR - Français,Ada Lovelace,Axiom,Personnage,4
7,F - Transfuge,EN - English,Coppélia,Muna,Personnage,0
7,F - Transfuge,FR - Français,Coppélia,Muna,Personnage,0
7,R - Rare,EN - English,Coppélia,Axiom,Personnage,1
7,R - Rare,FR - Français,Coppélia,Axiom,Personnage,0
7,C - Commune,EN - English,Coppélia,Axiom,Personnage,0
7,C - Commune,FR - Français,Coppélia,Axiom,Personnage,4
8,F - Transfuge,FR - Français,Ingénieure de la Fonderie,Ordis,Personnage,0
8,F - Transfuge,EN - English,Foundry Engineer,Ordis,Personnage,0
8,R - Rare,EN - English,Foundry Engineer,Axiom,Personnage,0
8,R - Rare,FR - Français,Ingénieure de la Fonderie,Axiom,Personnage,1
8,C - Commune,EN - English,Foundry Engineer,Axiom,Personnage,0
8,C - Commune,FR - Français,Ingénieure de la Fonderie,Axiom,Personnage,2
9,F - Transfuge,EN - English,"Jian, Assembly Overseer",Ordis,Personnage,0
9,F - Transfuge,FR - Français,"Jian, Superviseur d’Assemblage",Ordis,Personnage,0
9,R - Rare,EN - English,"Jian, Assembly Overseer",Axiom,Personnage,1
9,R - Rare,FR - Français,"Jian, Superviseur d’Assemblage",Axiom,Personnage,1
9,C - Commune,EN - English,"Jian, Assembly Overseer",Axiom,Personnage,2
9,C - Commune,FR - Français,"Jian, Superviseur d’Assemblage",Axiom,Personnage,3
10,F - Transfuge,EN - English,Kelon Elemental,Muna,Personnage,0
